Incident Type,Council District,Mental Health Flag,Priority Level,Response Datetime,Response Year,Response Month,Response Day of Week,Response Hour,First Unit Arrived Datetime,Call Closed Datetime,Sector,Initial Problem Description,Initial Problem Category,Number of Units Arrived,Unit Time on Scene,Response Time,Officer Injured/Killed Count,Subject Injured/Killed Count,Other Injured/Killed Count
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2018-03-29T15:18:35Z,2018,Mar,Thu,15,2018-03-29T15:23:38Z,2018-03-29T15:44:24Z,Baker,Traffic Hazard,Traffic Stop/Hazard,2,1614,386,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2022-09-23T09:21:48Z,2022,Sep,Fri,9,2022-09-23T09:27:10Z,2022-09-23T09:36:27Z,Airport,Assist Non Emergency,Assistance,1,557,322,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2022-03-08T14:49:52Z,2022,Mar,Tue,14,2022-03-08T15:48:02Z,2022-03-08T15:49:51Z,Charlie,Reckless Driving Info,Traffic Stop/Hazard,1,109,3531,0,0,0
Dispatched Incident,5,Mental Health Incident,Priority 2,2023-08-23T21:14:21Z,2023,Aug,Wed,21,2023-08-23T21:32:51Z,2023-08-23T21:33:23Z,David,Disturbance Other,Disturbance,1,32,1176,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2015-11-10T21:45:06Z,2015,Nov,Tue,21,2015-11-10T21:48:03Z,2015-11-10T22:02:53Z,George,Alarm Glass Break,Alarms,2,1622,228,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2018-03-22T16:21:35Z,2018,Mar,Thu,16,2018-03-22T18:25:57Z,2018-03-22T18:34:28Z,Edward,Suspicious Package,Suspicious Things,1,511,7556,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2021-07-28T21:06:11Z,2021,Jul,Wed,21,2021-07-28T21:13:31Z,2021-07-28T21:39:17Z,David,Alarm Burglar,Alarms,1,1546,463,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2014-07-27T19:25:21Z,2014,Jul,Sun,19,2014-07-27T19:41:46Z,2014-07-27T19:55:40Z,Henry,Crash Service,Crashes,2,1644,1041,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2021-09-19T23:47:12Z,2021,Sep,Sun,23,2021-09-19T23:49:34Z,2021-09-20T00:00:15Z,David,Alarm Burglar,Alarms,1,641,150,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 3,2018-05-05T00:39:55Z,2018,May,Sat,0,2018-05-05T00:56:18Z,2018-05-05T00:59:30Z,Baker,Doc / C.o. Violation,Disorderly Conduct,1,192,1006,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 0,2016-10-20T07:21:35Z,2016,Oct,Thu,7,2016-10-20T07:26:32Z,2016-10-20T07:33:04Z,Edward,Disturbance Hs,Disturbance,1,391,320,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2016-09-01T23:36:58Z,2016,Sep,Thu,23,2016-09-02T00:12:06Z,2016-09-02T00:43:03Z,Baker,Doc / C.o. Violation,Disorderly Conduct,1,1857,2118,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 3,2018-07-24T21:17:15Z,2018,Jul,Tue,21,2018-07-25T00:25:38Z,2018-07-25T01:20:57Z,Edward,Burglary Res Service,Burglary,3,7581,11604,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2021-04-17T06:57:32Z,2021,Apr,Sat,6,2021-04-17T07:33:49Z,2021-04-17T10:31:06Z,Baker,Service,Other,1,10637,2199,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2020-10-03T19:21:14Z,2020,Oct,Sat,19,2020-10-03T19:24:59Z,2020-10-03T22:52:29Z,Henry,Disturbance Urgent,Disturbance,2,17190,270,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2014-11-07T03:28:01Z,2014,Nov,Fri,3,2014-11-07T03:33:13Z,2014-11-07T07:05:46Z,Baker,Crash Urgent,Crashes,3,21667,358,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2023-03-14T16:51:43Z,2023,Mar,Tue,16,2023-03-14T16:56:28Z,2023-03-14T18:15:27Z,Ida,Trespass Urgent,Trespassing,2,7346,324,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 0,2014-07-07T12:35:38Z,2014,Jul,Mon,12,2014-07-07T12:38:37Z,2014-07-07T12:45:25Z,Airport,Assist Code 3,Assistance,1,408,259,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2015-05-23T09:34:38Z,2015,May,Sat,9,2015-05-23T09:41:50Z,2015-05-23T10:53:23Z,Ida,Assist Non Emergency,Assistance,2,8091,635,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2020-02-05T08:56:19Z,2020,Feb,Wed,8,2020-02-05T10:31:31Z,2020-02-05T11:00:20Z,Edward,Trespass Urgent,Trespassing,1,1729,5820,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2024-09-09T12:55:40Z,2024,Sep,Mon,12,2024-09-09T15:51:26Z,2024-09-09T15:54:43Z,David,Crash Service,Crashes,1,197,10618,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 1,2016-11-19T17:24:08Z,2016,Nov,Sat,17,2016-11-19T17:34:39Z,2016-11-19T18:08:51Z,Edward,Check Welfare Urgent,Welfare Check,3,2511,757,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2024-08-12T11:36:41Z,2024,Aug,Mon,11,2024-08-12T13:18:54Z,2024-08-12T14:42:22Z,David,Disturbance Service,Disturbance,1,5008,6222,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2022-03-03T06:03:01Z,2022,Mar,Thu,6,2022-03-03T06:11:17Z,2022-03-03T06:42:55Z,David,Trespass Urgent,Trespassing,2,3525,518,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2015-01-22T06:11:25Z,2015,Jan,Thu,6,2015-01-22T06:17:59Z,2015-01-22T06:31:52Z,Frank,Alarm Burglar,Alarms,2,1065,463,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 0,2024-11-12T00:04:23Z,2024,Nov,Tue,0,2024-11-12T00:07:25Z,2024-11-12T00:43:08Z,Edward,Agency Assist Hs,Assistance,2,2723,294,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2021-12-17T14:28:13Z,2021,Dec,Fri,14,2021-12-17T14:37:12Z,2021-12-17T14:40:06Z,Charlie,Crash Service,Crashes,1,174,635,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 1,2014-10-09T20:46:11Z,2014,Oct,Thu,20,2014-10-09T20:52:35Z,2014-10-09T22:40:08Z,Adam,Trace,Other,5,9622,562,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2017-11-17T09:26:14Z,2017,Nov,Fri,9,2017-11-17T09:35:40Z,2017-11-17T09:39:42Z,George,Trespass Urgent,Trespassing,2,482,634,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2019-09-19T22:04:50Z,2019,Sep,Thu,22,2019-09-19T22:07:31Z,2019-09-19T22:37:42Z,George,Trespass Urgent,Trespassing,2,2434,185,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 3,2018-10-09T20:39:41Z,2018,Oct,Tue,20,2018-10-09T20:56:27Z,2018-10-09T21:19:09Z,Ida,Check Welfare Service,Welfare Check,1,1362,1054,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 2,2018-04-09T04:01:08Z,2018,Apr,Mon,4,2018-04-09T04:06:24Z,2018-04-09T04:13:16Z,Adam,Disturbance Other,Disturbance,1,412,372,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2022-01-29T18:06:21Z,2022,Jan,Sat,18,2022-01-29T18:10:24Z,2022-01-29T18:21:25Z,Baker,Alarm Burglar,Alarms,1,661,256,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2020-11-27T11:18:19Z,2020,Nov,Fri,11,2020-11-27T12:29:24Z,2020-11-27T13:30:02Z,Edward,Trespass Urgent,Trespassing,2,7261,4291,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2016-05-28T06:07:11Z,2016,May,Sat,6,2016-05-28T06:35:01Z,2016-05-28T06:37:33Z,Adam,Alarm Burglar,Alarms,1,152,1688,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2015-12-01T10:48:57Z,2015,Dec,Tue,10,2015-12-01T11:02:32Z,2015-12-01T11:09:46Z,David,Alarm Burglar,Alarms,1,434,844,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2018-04-04T17:14:07Z,2018,Apr,Wed,17,2018-04-04T17:29:41Z,2018-04-04T18:03:47Z,Ida,Gun Urgent,Shoot/Stab,2,2649,990,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2018-05-07T18:47:43Z,2018,May,Mon,18,2018-05-07T18:47:44Z,2018-05-07T18:52:27Z,George,Subject Stop,Person Stop/FO,1,283,1,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2020-01-23T17:34:49Z,2020,Jan,Thu,17,2020-01-23T17:43:07Z,2020-01-23T18:21:40Z,David,Suspicious Person,Suspicious Things,2,3672,569,0,0,0
Dispatched Incident,6,Mental Health Incident,Priority 1,2020-11-21T01:58:31Z,2020,Nov,Sat,1,2020-11-21T02:01:39Z,2020-11-21T02:42:27Z,Adam,Check Welfare Service,Welfare Check,2,4079,382,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2017-06-07T07:55:07Z,2017,Jun,Wed,7,2017-06-07T07:58:46Z,2017-06-07T08:06:18Z,Henry,Alarm Burglar,Alarms,2,811,255,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2020-06-28T11:00:22Z,2020,Jun,Sun,11,2020-06-28T11:21:29Z,2020-06-28T11:34:11Z,David,Trespass Urgent,Trespassing,2,1170,1297,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2019-08-18T00:12:09Z,2019,Aug,Sun,0,2019-08-18T00:34:32Z,2019-08-18T02:36:55Z,Charlie,Missing Service,Missing Persons/Kidnapping,2,14297,1399,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-04-09T22:38:41Z,2014,Apr,Wed,22,2014-04-09T23:01:03Z,2014-04-09T23:29:46Z,Frank,Check Welfare Service,Welfare Check,1,1723,1497,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 0,2019-11-29T00:23:53Z,2019,Nov,Fri,0,2019-11-29T00:31:26Z,2019-11-29T00:41:02Z,Baker,Burglary Hs,Burglary,2,639,484,0,0,0
Dispatched Incident,4,Mental Health Incident,Priority 2,2021-11-09T17:16:37Z,2021,Nov,Tue,17,2021-11-09T17:31:40Z,2021-11-09T17:48:52Z,Edward,Disturbance Other,Disturbance,2,1976,992,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 0,2019-01-23T10:04:09Z,2019,Jan,Wed,10,2019-01-23T10:06:01Z,2019-01-23T10:41:07Z,Edward,Disturbance Hs,Disturbance,4,6068,147,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 2,2014-04-18T13:25:36Z,2014,Apr,Fri,13,2014-04-18T13:28:07Z,2014-04-18T14:33:53Z,Baker,Crash Urgent,Crashes,2,6893,185,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 0,2018-09-01T20:28:16Z,2018,Sep,Sat,20,2018-09-01T20:37:10Z,2018-09-01T22:00:44Z,Ida,Crash Service,Crashes,2,5027,563,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 3,2016-02-17T11:35:24Z,2016,Feb,Wed,11,2016-02-17T11:36:10Z,2016-02-17T13:06:05Z,Edward,Doc / C.o. Violation,Disorderly Conduct,2,8342,61,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 3,2015-11-30T07:42:32Z,2015,Nov,Mon,7,2015-11-30T09:02:48Z,2015-11-30T10:24:00Z,Adam,Burglary Res Service,Burglary,1,4872,4983,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2020-05-04T20:23:07Z,2020,May,Mon,20,2020-05-04T20:47:06Z,2020-05-05T04:33:30Z,Adam,Disturbance Other,Disturbance,2,34033,1459,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2019-12-21T03:16:08Z,2019,Dec,Sat,3,2019-12-21T03:20:44Z,2019-12-21T03:54:34Z,Henry,Disturbance Other,Disturbance,1,2030,283,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2024-08-04T04:24:11Z,2024,Aug,Sun,4,2024-08-04T04:33:18Z,2024-08-04T05:02:18Z,Henry,Disturbance Hs,Disturbance,2,1843,660,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2014-10-13T22:53:27Z,2014,Oct,Mon,22,2014-10-13T23:00:16Z,2014-10-13T23:27:48Z,Adam,Animal Urgent,Animal Related,1,1652,464,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2016-01-01T23:24:32Z,2016,Jan,Fri,23,2016-01-01T23:26:33Z,2016-01-01T23:38:40Z,Adam,Suspicious Vehicle,Suspicious Things,2,1175,147,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2019-12-25T12:24:16Z,2019,Dec,Wed,12,2019-12-25T12:36:46Z,2019-12-25T13:13:21Z,Frank,Animal Urgent,Animal Related,1,2195,769,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2017-11-14T22:03:46Z,2017,Nov,Tue,22,2017-11-14T22:05:07Z,2017-11-14T23:24:15Z,Charlie,Check Welfare Urgent,Welfare Check,1,4748,140,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2020-11-14T17:14:43Z,2020,Nov,Sat,17,2020-11-14T17:22:58Z,2020-11-14T17:33:02Z,Frank,Alarm Burglar,Alarms,1,604,516,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 0,2016-12-13T15:31:16Z,2016,Dec,Tue,15,2016-12-13T15:37:24Z,2016-12-13T16:34:36Z,Ida,Crash Hs,Crashes,2,5917,388,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2021-04-04T16:30:23Z,2021,Apr,Sun,16,2021-04-04T16:34:55Z,2021-04-04T16:38:00Z,Frank,Alarm Burglar,Alarms,2,235,300,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2017-12-19T20:10:59Z,2017,Dec,Tue,20,2017-12-19T20:23:00Z,2017-12-19T20:31:07Z,Ida,Disturbance Service,Disturbance,1,487,818,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-07-02T22:23:20Z,2014,Jul,Wed,22,2014-07-02T23:07:53Z,2014-07-02T23:20:43Z,Charlie,Dwi/Reckless Driving Info,DUI/DWI,1,770,2750,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 3,2018-02-01T22:57:45Z,2018,Feb,Thu,22,2018-02-01T22:57:45Z,2018-02-01T23:22:29Z,David,Subject Stop,Person Stop/FO,5,4474,0,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 1,2020-03-10T02:46:08Z,2020,Mar,Tue,2,2020-03-10T02:49:27Z,2020-03-10T02:56:04Z,Frank,Shots Fired,Shoot/Stab,4,1056,238,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-04-14T10:34:36Z,2014,Apr,Mon,10,2014-04-14T11:18:52Z,2014-04-14T12:35:45Z,David,Id Property Crimes,Administrative,1,4613,2778,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 3,2017-10-05T02:35:24Z,2017,Oct,Thu,2,2017-10-05T02:53:36Z,2017-10-05T03:05:50Z,David,Doc / C.o. Violation,Disorderly Conduct,1,734,1102,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2018-11-05T15:40:37Z,2018,Nov,Mon,15,2018-11-05T15:50:37Z,2018-11-05T16:18:25Z,Ida,Crash Urgent,Crashes,1,1668,617,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2017-10-21T02:08:15Z,2017,Oct,Sat,2,2017-10-21T03:36:02Z,2017-10-21T04:16:01Z,David,Service,Other,1,2399,5387,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2019-03-24T20:42:21Z,2019,Mar,Sun,20,2019-03-24T20:47:20Z,2019-03-24T21:08:53Z,Ida,Alarm Other,Alarms,2,2301,334,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 0,2024-02-07T10:34:53Z,2024,Feb,Wed,10,2024-02-07T10:53:52Z,2024-02-07T11:11:13Z,David,Pedestrian On Hsr,Traffic Stop/Hazard,2,2029,1195,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2016-01-30T04:45:42Z,2016,Jan,Sat,4,2016-01-30T04:48:14Z,2016-01-30T05:37:15Z,Baker,Suspicious Unknown,Suspicious Things,2,5106,200,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2021-09-20T19:51:57Z,2021,Sep,Mon,19,2021-09-20T20:24:15Z,2021-09-20T23:36:19Z,Henry,Disturbance Other,Disturbance,2,14243,1974,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2019-10-21T09:21:53Z,2019,Oct,Mon,9,2019-10-21T09:54:34Z,2019-10-21T11:22:08Z,Baker,Trespass Urgent,Trespassing,2,5568,2012,0,0,0
Dispatched Incident,5,Mental Health Incident,Priority 1,2022-12-05T09:49:33Z,2022,Dec,Mon,9,2022-12-05T09:54:44Z,2022-12-05T11:02:56Z,David,Disturbance Other,Disturbance,5,11043,348,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2023-02-28T00:53:09Z,2023,Feb,Tue,0,2023-02-28T01:34:29Z,2023-02-28T01:36:01Z,David,Alarm Other,Alarms,1,92,2626,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 2,2024-06-25T13:56:02Z,2024,Jun,Tue,13,2024-06-25T14:04:52Z,2024-06-25T15:39:38Z,Adam,Trespass Urgent,Trespassing,2,11362,577,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2017-03-05T23:40:15Z,2017,Mar,Sun,23,2017-03-06T04:03:36Z,2017-03-06T06:45:59Z,Baker,Service,Other,6,15540,15880,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2019-06-17T20:03:33Z,2019,Jun,Mon,20,2019-06-17T20:44:30Z,2019-06-17T21:33:38Z,Edward,Check Welfare Service,Welfare Check,1,2948,2609,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2024-11-19T02:20:24Z,2024,Nov,Tue,2,2024-11-19T02:23:26Z,2024-11-19T02:33:11Z,Frank,Alarm Burglar,Alarms,1,585,303,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2023-06-09T06:20:08Z,2023,Jun,Fri,6,2023-06-09T07:23:36Z,2023-06-09T08:23:50Z,Ida,Trespass Urgent,Trespassing,1,3614,3831,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2024-10-07T15:56:05Z,2024,Oct,Mon,15,2024-10-07T16:51:45Z,2024-10-07T16:57:03Z,Adam,Check Welfare Urgent,Welfare Check,1,318,3417,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2022-03-10T22:08:36Z,2022,Mar,Thu,22,2022-03-10T22:14:06Z,2022-03-10T22:25:37Z,Charlie,Disturbance Service,Disturbance,1,691,419,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2016-07-08T01:19:21Z,2016,Jul,Fri,1,2016-07-08T01:25:47Z,2016-07-08T01:49:43Z,Ida,Disturbance Other,Disturbance,3,3654,468,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2016-03-04T20:44:35Z,2016,Mar,Fri,20,2016-03-04T21:21:04Z,2016-03-04T22:09:51Z,Edward,Shots Fired,Shoot/Stab,1,2927,2236,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 3,2017-04-21T04:53:48Z,2017,Apr,Fri,4,2017-04-21T05:07:24Z,2017-04-21T05:42:42Z,David,Service,Other,1,2117,861,0,0,0
Dispatched Incident,3,Mental Health Incident,Priority 3,2021-01-22T04:52:44Z,2021,Jan,Fri,4,2021-01-22T04:55:50Z,2021-01-22T06:09:03Z,David,Check Welfare Service,Welfare Check,2,5499,257,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2017-02-08T22:01:39Z,2017,Feb,Wed,22,2017-02-08T22:04:32Z,2017-02-08T22:46:29Z,Adam,Suspicious Vehicle,Suspicious Things,3,5729,279,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 1,2021-10-14T03:29:34Z,2021,Oct,Thu,3,2021-10-14T03:33:40Z,2021-10-14T05:06:43Z,Frank,Nature Unknown Urgent,Other,4,10708,305,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 2,2021-08-24T11:39:48Z,2021,Aug,Tue,11,2021-08-24T11:42:40Z,2021-08-24T14:08:10Z,Charlie,Traffic Hazard,Traffic Stop/Hazard,1,8730,188,0,0,0
Dispatched Incident,6,Not Mental Health Incident,Priority 2,2023-09-23T03:56:25Z,2023,Sep,Sat,3,2023-09-23T04:08:38Z,2023-09-23T05:35:34Z,Adam,Disturbance Other,Disturbance,2,6707,915,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 3,2018-11-27T17:13:54Z,2018,Nov,Tue,17,2018-11-27T18:31:17Z,2018-11-27T19:28:59Z,Edward,Disturbance Service,Disturbance,2,4705,4667,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 2,2016-03-18T10:35:56Z,2016,Mar,Fri,10,2016-03-18T10:38:06Z,2016-03-18T11:03:35Z,Edward,Suspicious Person,Suspicious Things,3,2494,160,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 2,2023-12-08T21:09:55Z,2023,Dec,Fri,21,2023-12-08T22:21:05Z,2023-12-08T22:29:47Z,Edward,Alarm Burglar,Alarms,1,522,4247,0,0,0
Dispatched Incident,4,Not Mental Health Incident,Priority 1,2016-05-01T21:04:32Z,2016,May,Sun,21,2016-05-01T21:11:35Z,2016-05-01T21:29:06Z,Ida,Assist Non Emergency,Assistance,2,1524,530,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 3,2022-01-08T00:06:28Z,2022,Jan,Sat,0,2022-01-08T00:26:33Z,2022-01-08T00:27:41Z,Frank,Doc / C.o. Violation,Disorderly Conduct,1,68,1213,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2015-05-30T11:47:42Z,2015,May,Sat,11,2015-05-30T11:58:44Z,2015-05-30T12:19:24Z,Baker,Traffic Hazard,Traffic Stop/Hazard,1,1240,685,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2015-03-08T01:40:34Z,2015,Mar,Sun,1,2015-03-08T01:42:47Z,2015-03-08T03:16:09Z,Charlie,Alarm Glass Break,Alarms,4,12383,250,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 3,2020-12-23T13:14:04Z,2020,Dec,Wed,13,2020-12-23T14:03:15Z,2020-12-23T15:17:15Z,Ida,Auto Theft Service,Auto Theft,1,4440,3167,0,0,0
Dispatched Incident,2,Mental Health Incident,Priority 1,2015-01-15T13:08:10Z,2015,Jan,Thu,13,2015-01-15T13:17:33Z,2015-01-15T15:05:23Z,Frank,Check Welfare Urgent,Welfare Check,2,7625,683,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2018-09-06T08:34:38Z,2018,Sep,Thu,8,2018-09-06T08:52:05Z,2018-09-06T09:39:53Z,Charlie,Service,Other,1,2868,1282,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2017-01-14T16:49:07Z,2017,Jan,Sat,16,2017-01-14T17:06:22Z,2017-01-14T17:14:37Z,David,Assist Non Emergency,Assistance,2,858,1120,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 2,2024-12-01T13:23:14Z,2024,Dec,Sun,13,2024-12-01T13:33:58Z,2024-12-01T13:59:12Z,Frank,Alarm Burglar,Alarms,1,1514,718,0,0,0
Dispatched Incident,7,Not Mental Health Incident,Priority 0,2016-07-25T00:17:06Z,2016,Jul,Mon,0,2016-07-25T00:20:53Z,2016-07-25T01:35:41Z,Adam,Crash Hs,Crashes,3,10528,271,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2019-11-16T21:08:37Z,2019,Nov,Sat,21,2019-11-16T21:18:31Z,2019-11-16T21:45:47Z,Frank,Assist Non Emergency,Assistance,2,2221,594,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2018-10-22T08:14:53Z,2018,Oct,Mon,8,2018-10-22T08:17:00Z,2018-10-22T09:02:29Z,Airport,Assist Non Emergency,Assistance,1,2729,127,0,0,0
Dispatched Incident,8,Not Mental Health Incident,Priority 2,2014-08-08T07:06:10Z,2014,Aug,Fri,7,2014-08-08T07:13:21Z,2014-08-08T09:39:53Z,David,Traffic Hazard,Traffic Stop/Hazard,2,16010,542,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 3,2014-04-02T19:03:37Z,2014,Apr,Wed,19,2014-04-02T20:06:29Z,2014-04-02T20:21:01Z,Charlie,Service,Other,1,872,3828,0,0,0
Dispatched Incident,9,Not Mental Health Incident,Priority 2,2024-03-08T18:07:50Z,2024,Mar,Fri,18,2024-03-08T18:17:50Z,2024-03-08T18:52:24Z,Baker,Suspicious Unknown,Suspicious Things,3,3289,675,0,0,0
Dispatched Incident,2,Not Mental Health Incident,Priority 2,2017-02-10T10:05:12Z,2017,Feb,Fri,10,2017-02-10T10:10:10Z,2017-02-10T10:29:14Z,Frank,Alarm Burglar,Alarms,1,1144,303,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2022-10-25T11:22:17Z,2022,Oct,Tue,11,2022-10-25T11:22:49Z,2022-10-25T11:37:42Z,Edward,Check Welfare Service,Welfare Check,1,893,97,0,0,0
Dispatched Incident,10,Not Mental Health Incident,Priority 3,2017-05-31T23:28:21Z,2017,May,Wed,23,2017-05-31T23:44:40Z,2017-06-01T00:00:10Z,Baker,Service,Other,1,931,1049,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 1,2024-09-18T15:52:15Z,2024,Sep,Wed,15,2024-09-18T16:02:29Z,2024-09-18T23:52:31Z,David,Disturbance Hs,Disturbance,6,61812,665,0,0,0
Dispatched Incident,3,Not Mental Health Incident,Priority 2,2016-03-26T14:56:31Z,2016,Mar,Sat,14,2016-03-26T15:00:41Z,2016-03-26T15:20:24Z,Henry,Disturbance Other,Disturbance,2,2002,271,0,0,0
Dispatched Incident,5,Not Mental Health Incident,Priority 3,2016-10-17T22:46:07Z,2016,Oct,Mon,22,2016-10-17T22:54:01Z,2016-10-17T22:59:39Z,David,Doc / C.o. Violation,Disorderly Conduct,1,338,486,0,0,0
Dispatched Incident,0,Not Mental Health Incident,Priority 0,2024-10-16T23:53:06Z,2024,Oct,Wed,23,2024-10-16T23:58:40Z,2024-10-17T00:37:07Z,David,Pedestrian On Hsr,Traffic Stop/Hazard,3,5841,406,0,0,0
Dispatched Incident,1,Not Mental Health Incident,Priority 3,2015-06-27T15:18:41Z,2015,Jun,Sat,15,2015-06-27T18:07:17Z,2015-06-27T18:30:05Z,Ida,Doc / C.o. Violation,Disorderly Conduct,1,1368,10161,0,0,0
